STATION,DATE,SNWD,SNOW
GHCND:US1MAMD0008,20150101,-9999,0
GHCND:US1MAMD0008,20150123,-9999,0
GHCND:US1MAMD0007,20150101,-9999,0
GHCND:US1MAMD0007,20150102,-9999,0
GHCND:US1MAMD0007,20150103,-9999,0
GHCND:US1MAMD0007,20150104,23,23
GHCND:US1MAMD0007,20150106,-9999,0
GHCND:US1MAMD0007,20150107,0,0
GHCND:US1MAMD0007,20150108,0,0
GHCND:US1MAMD0007,20150109,-9999,0
GHCND:US1MAMD0007,20150110,8,8
GHCND:US1MAMD0007,20150111,0,0
GHCND:US1MAMD0007,20150112,0,0
GHCND:US1MAMD0007,20150114,-9999,0
GHCND:US1MAMD0007,20150115,0,0
GHCND:US1MAMD0007,20150116,8,8
GHCND:US1MAMD0007,20150117,0,0
GHCND:US1MAMD0007,20150118,0,0
GHCND:US1MAMD0007,20150120,-9999,0
GHCND:US1MAMD0007,20150121,-9999,0
GHCND:US1MAMD0007,20150122,-9999,0
GHCND:US1MAMD0007,20150123,-9999,0
GHCND:US1MAMD0007,20150124,64,64
GHCND:US1MAMD0007,20150125,140,91
GHCND:US1MAMD0007,20150126,114,0
GHCND:US1MAMD0007,20150127,381,356
GHCND:US1MAMD0007,20150128,508,152
GHCND:US1MAMD0007,20150129,432,0
GHCND:US1MAMD0007,20150130,394,3
GHCND:US1MAMD0007,20150131,356,25
GHCND:US1MAMD0007,20150201,-9999,0
GHCND:US1MAMD0007,20150202,457,119
GHCND:US1MAMD0007,20150203,660,244
GHCND:US1MAMD0007,20150204,559,0
GHCND:US1MAMD0007,20150205,533,3
GHCND:US1MAMD0007,20150206,533,23
GHCND:US1MAMD0007,20150207,508,0
GHCND:US1MAMD0007,20150208,584,91
GHCND:US1MAMD0007,20150209,660,104
GHCND:US1MAMD0007,20150210,787,142
GHCND:US1MAMD0007,20150211,711,0
GHCND:US1MAMD0007,20150212,660,0
GHCND:US1MAMD0007,20150213,660,13
GHCND:US1MAMD0007,20150214,635,0
GHCND:US1MAMD0012,20150101,0,0
GHCND:US1MAMD0012,20150102,0,0
GHCND:US1MAMD0012,20150103,0,0
GHCND:US1MAMD0012,20150104,38,33
GHCND:US1MAMD0012,20150105,13,0
